date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-10-21,1.0,0.9999999987567499,1.0000000012480608,35760802857
2024-10-22,1.0,0.9999999987147599,1.000000001269791,35760802857
2024-10-23,1.0,0.9999999988306225,1.0000000012195913,35760802857
2024-10-24,1.0,0.9999999987105804,1.000000001271609,35760802857
2024-10-25,1.0,0.9999999987009492,1.0000000013544734,35760802857
2024-10-26,1.0,0.999999998655095,1.0000000012834005,35760802857
2024-10-27,1.0,0.9999999986529128,1.0000000012944381,35760802857
2024-10-28,1.0,0.9999999987630531,1.0000000012210024,35760802857
2024-12-24,1.0,0.9999999987131798,1.0000000012872958,35760803117
2024-12-25,1.0,0.9999999987379694,1.0000000012775274,35760803117
2024-12-26,1.0,0.9999999986851527,1.0000000012408432,35760803117
2024-12-27,1.0,0.9999999987629171,1.000000001289926,35760803117
2024-12-28,1.0,0.9999999987496258,1.000000001275315,35760803117
2024-12-29,1.0,0.9999999986721184,1.000000001339416,35760803117
2024-12-30,1.0,0.9999999987607001,1.0000000013544847,35760803117
2024-12-31,1.0,0.9999999987790852,1.0000000013019168,35760803117
2025-01-01,1.0,0.9999999986740298,1.0000000012343795,35760803117
2025-01-02,1.0,0.9999999987448577,1.0000000011722383,35760803117
2025-01-03,1.0,0.9999999986546086,1.0000000012237351,35760803117
2025-01-04,1.0,0.9999999987544191,1.0000000013309995,35760803117
2025-01-05,1.0,0.9999999987132713,1.0000000013514367,35760803117
2025-01-06,1.0,0.9999999986307856,1.000000001252785,35760803117
2025-01-07,1.0,0.9999999987219536,1.0000000013026564,35760803117
2025-01-08,1.0,0.9999999987239065,1.000000001275501,35760803117
2025-01-09,1.0,0.999999998711479,1.0000000012773813,35760803117
2025-01-10,1.0,0.9999999986727606,1.0000000012763612,35760803117
2025-01-11,1.0,0.9999999986704026,1.0000000012791515,35760803117
2025-01-12,1.0,0.9999999985922238,1.0000000012531183,35760803117
2025-01-13,1.0,0.9999999988056943,1.000000001231928,35760803117
2025-01-14,1.0,0.9999999987098543,1.0000000012527173,35760803117
2025-01-15,1.0,0.9999999988057834,1.0000000014346857,35760803117
2025-01-16,1.0,0.9999999987281367,1.000000001205199,35760803117
2025-01-17,1.0,0.9999999987033235,1.000000001274397,35760803117
2025-01-18,1.0,0.9999999986750012,1.0000000012766388,35760803117
2025-01-19,1.0,0.9999999988020332,1.000000001242239,35760803117
2025-01-20,1.0,0.999999998720866,1.0000000014046588,35760803117
2024-12-24,0.9825170197951563,0.9825170193502013,0.9825170202300957,35760803736
2024-12-25,0.9650344801636572,0.9650344797039082,0.9650344805746166,35760803736
2024-12-26,0.9475519405321586,0.9475519400846016,0.9475519409961702,35760803736
2024-12-27,0.93006940090066,0.9300694004810233,0.9300694013566221,35760803736
2024-12-28,0.9125868612691612,0.9125868607889314,0.9125868617430468,35760803736
2024-12-29,0.8951043216376624,0.8951043211515135,0.8951043221427273,35760803736
2024-12-30,0.8776217820061638,0.8776217815072477,0.8776217825054782,35760803736
2024-12-31,0.860139242374665,0.8601392418917688,0.8601392428969259,35760803736
2025-01-01,0.8426567027431664,0.8426567022055942,0.8426567032051447,35760803736
2025-01-02,0.8251741631116674,0.8251741626215163,0.8251741636521253,35760803736
2025-01-03,0.8076916234801688,0.807691622915653,0.8076916240629937,35760803736
2025-01-04,0.7902090838486702,0.79020908325355,0.7902090843781782,35760803736
2025-01-05,0.7727265442171714,0.7727265435960287,0.7727265447935739,35760803736
2025-01-06,0.7552440045856725,0.7552440039568565,0.7552440051933748,35760803736
2025-01-07,0.7377614649541739,0.7377614642900959,0.7377614655985265,35760803736
2025-01-08,0.7202789253226751,0.7202789246529082,0.7202789259796182,35760803736
2025-01-09,0.7027963856911765,0.7027963849295519,0.7027963863921006,35760803736
2025-01-10,0.6853138460596777,0.6853138453328015,0.6853138468524826,35760803736
2025-01-11,0.6678313064281789,0.6678313055836336,0.6678313071771858,35760803736
2025-01-12,0.6503487667966803,0.6503487659806884,0.6503487677002208,35760803736
2025-01-13,0.6328662271651817,0.6328662262522807,0.6328662282419671,35760803736
2025-01-14,0.6153836875336827,0.6153836865035758,0.6153836888845055,35760803736
2025-01-15,0.5979011479021841,0.5979011466967594,0.5979011492424149,35760803736
2025-01-16,0.5804186082706855,0.5804186068111074,0.5804186098702611,35760803736
2025-01-17,0.5629360686391867,0.5629360670527835,0.5629360705526021,35760803736
2025-01-18,0.5454535290076878,0.5454535272308233,0.5454535313626145,35760803736
2025-01-19,0.5279709893761897,0.5279709873626777,0.5279709919454395,35760803736
2025-01-20,0.5104884497446909,0.5104884475196579,0.5104884524569611,35760803736
2025-01-07,1.0,0.999999998782651,1.0000000012313326,35760804010
2025-01-08,1.0,0.9999999987376302,1.0000000013367616,35760804010
2025-01-09,1.0,0.9999999986661584,1.0000000013490289,35760804010
2025-01-10,1.0,0.9999999986494903,1.0000000014123656,35760804010
2025-01-11,1.0,0.9999999985125158,1.0000000014739772,35760804010
2025-01-12,1.0,0.9999999985005084,1.0000000014905155,35760804010
2025-01-13,1.0,0.9999999983340325,1.000000001537848,35760804010
2025-01-14,1.0,0.9999999982893601,1.000000001551899,35760804010
2025-01-15,1.0,0.999999998068758,1.0000000018050712,35760804010
2025-01-16,1.0,0.9999999979465911,1.0000000020043371,35760804010
2025-01-17,1.0,0.9999999978031043,1.0000000021965891,35760804010
2025-01-18,1.0,0.9999999975234536,1.0000000026242133,35760804010
2025-01-19,1.0,0.9999999970894589,1.0000000027713498,35760804010
2025-01-20,1.0,0.9999999968128713,1.0000000029294405,35760804010
2025-01-21,1.0,0.9999999964027436,1.0000000039551036,35760804010
2025-01-22,1.0,0.9999999954396984,1.000000004102674,35760804010
2025-01-23,1.0,0.9999999951866091,1.0000000047983963,35760804010
2025-01-24,1.0,0.9999999948438204,1.0000000053962275,35760804010
2025-01-25,1.0,0.9999999941669512,1.0000000057096363,35760804010
2025-01-26,1.0,0.9999999938370043,1.0000000062255725,35760804010
2025-01-27,1.0,0.999999993106612,1.0000000069746138,35760804010
2025-01-28,1.0,0.9999999924314641,1.0000000077142874,35760804010
2025-01-29,1.0,0.9999999917893841,1.0000000086006986,35760804010
2025-01-30,1.0,0.9999999911066172,1.000000008754716,35760804010
2025-01-31,1.0,0.9999999902748344,1.000000010361009,35760804010
2025-02-01,1.0,0.999999989657149,1.0000000107180926,35760804010
2025-02-02,1.0,0.9999999888260587,1.0000000112315541,35760804010
2025-02-03,1.0,0.9999999879071191,1.0000000119832622,35760804010
2025-03-04,11.681936894937127,6.115858233828366,17.107248067950348,35760804375
2025-03-05,11.685249660811095,6.067531032841689,17.567762156506472,35760804375
2025-03-06,11.688562426685063,6.118264522650443,17.169655836657597,35760804375
2025-03-07,11.691875192559035,6.513960057633057,17.234920424966237,35760804375
2025-03-08,11.695187958433003,5.940982075518416,17.275824622753984,35760804375
2025-03-09,11.698500724306975,6.0274135168955105,17.18005036258848,35760804375
2025-03-10,11.701813490180943,5.813276204093238,17.613755343981172,35760804375
2025-03-11,11.70512625605491,5.825197328699117,17.317227984140317,35760804375
